   0.100000D+01   0.000000D+00  -0.163058D-02   0.698253D-06
   0.200000D+01   0.000000D+00   0.163638D+00  -0.651882D-04
   0.300000D+01   0.000000D+00  -0.320422D+00   0.119819D-03
   0.400000D+01   0.000000D+00   0.472890D+00  -0.157783D-03
   0.500000D+01   0.000000D+00  -0.618991D+00   0.171406D-03
   0.600000D+01   0.000000D+00   0.756757D+00  -0.153641D-03
   0.700000D+01   0.000000D+00  -0.884333D+00   0.982551D-04
   0.800000D+01   0.000000D+00   0.100000D+01   0.000000D+00
   0.900000D+01   0.000000D+00  -0.110220D+01  -0.145235D-03
   0.100000D+02   0.000000D+00   0.118956D+01   0.340295D-03
   0.110000D+02   0.000000D+00  -0.126090D+01  -0.586659D-03
   0.120000D+02   0.000000D+00   0.131527D+01   0.884360D-03
   0.130000D+02   0.000000D+00  -0.135192D+01  -0.123194D-02
   0.140000D+02   0.000000D+00   0.137036D+01   0.162645D-02
   0.150000D+02   0.000000D+00  -0.140695D+01  -0.237027D-02
